Date,Ticker,Close,High,Low,Open,Volume
2024-04-30,HDFCBANK.NS,1499.6219482421875,1518.7606252206858,1494.4920482143123,1508.5993335038902,26153691.0
2024-04-30,INFY.NS,1396.6859130859375,1412.4171255327008,1393.7363107521694,1410.5981080778427,6936588.0
2024-04-30,RELIANCE.NS,1467.0,1483.074951171875,1462.875,1468.0,11474262.0
2024-04-30,TCS.NS,3766.107421875,3826.3352724088404,3755.6095544220216,3816.724460556973,2203078.0
2024-05-02,HDFCBANK.NS,1511.6082763671875,1516.294286687138,1499.8685632699328,1501.4963593609784,16737503.0
2024-05-02,INFY.NS,1390.688232421875,1400.0778474544354,1388.1319345133122,1389.2626393631442,10076354.0
2024-05-02,RELIANCE.NS,1466.550048828125,1477.324951171875,1464.125,1472.0,14512646.0
2024-05-02,TCS.NS,3808.148681640625,3815.8373792012935,3724.115686272238,3724.115686272238,2491044.0
2024-05-03,HDFCBANK.NS,1499.128662109375,1519.8457602997444,1486.8956848070363,1512.5948000182832,15932621.0
2024-05-03,INFY.NS,1392.50732421875,1400.8645309177493,1379.627297878708,1398.2098167780555,8842345.0
2024-05-03,RELIANCE.NS,1434.0,1474.949951171875,1416.1500244140625,1471.0,17226958.0
2024-05-03,TCS.NS,3788.53271484375,3838.016267704584,3743.386733993244,3834.615326312554,2962234.0
2024-05-06,HDFCBANK.NS,1502.1376953125,1513.8280343469207,1496.711788379357,1501.4964276806866,14396698.0
2024-05-06,INFY.NS,1401.9459228515625,1421.4132249874758,1393.2937085558553,1396.1450146319148,6445422.0
2024-05-06,RELIANCE.NS,1419.5250244140625,1440.0,1418.0,1435.5,7394208.0
2024-05-06,TCS.NS,3865.07421875,3883.7043112956317,3797.9956336682126,3797.9956336682126,2053831.0
2024-05-07,HDFCBANK.NS,1485.8599853515625,1503.5188703115905,1483.8869282705728,1501.4470640358736,14240301.0
2024-05-07,INFY.NS,1416.7430419921875,1419.102747744958,1391.8189275239224,1401.0118303332122,6080661.0
2024-05-07,RELIANCE.NS,1401.4749755859375,1420.75,1392.0,1415.9749755859375,14517472.0
2024-05-07,TCS.NS,3922.147705078125,3931.068558237291,3857.6320969562785,3874.6851756935434,2062112.0
2024-05-08,HDFCBANK.NS,1462.676513671875,1476.7837990537682,1460.4074499374806,1475.7972705476566,20843931.0
2024-05-08,INFY.NS,1403.322509765625,1415.5633113681472,1401.65099644159,1411.1389078945185,6234983.0
2024-05-08,RELIANCE.NS,1418.550048828125,1432.949951171875,1397.5,1397.5,9439002.0
2024-05-08,TCS.NS,3920.17578125,3927.4209503307334,3882.373402841356,3904.453528502595,1247685.0
2024-05-09,HDFCBANK.NS,1428.0,1466.7212435233162,1425.8296854760363,1455.0801590835492,23140639.0
